Code du departement;Libelle du departement;Code de la circonscription;Libelle de la circonscription;Inscrits;Abstentions;Votants;Blancs et nuls;Exprimes;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix
1;AIN;1;1ere circonscription;81128;48147;32981;1018;31963;LXG;Liste Extreme gauche;VACHETTA;700;LXG;Liste Extreme gauche;MIRGUET;170;LPC;Liste du Parti communiste;GOMEZ;1005;LPS;Liste du Parti socialiste;ROCARD;10062;LVE;Liste des Verts;BENNAHMIAS;2481;LRG;Liste regionaliste;ANTHOINE;0;LCP;Liste Chasse-Peche-Nature et Traditions;VIDAL-DAUMAS;655;LDV;Liste Divers;AUDIC;14;LDV;Liste Divers;GOVERNATORI;565;LDV;Liste Divers;KERDO;0;LDV;Liste Divers;GARINO;72;LDV;Liste Divers;SANMARTIN;0;LDV;Liste Divers;LAURELLI;45;LDV;Liste Divers;DELAGE;312;LDV;Liste Divers;FRAYSSE ;0;LUMP;Liste Union pour un Mouvement Populaire;GROSSETETE;5635;LUDF;Liste Union pour la democratie francaise;CORNILLET;3957;LDD;Liste Divers droite;LOUIS;2517;LDD;Liste Divers droite;LALLOUETTE;0;LDD;Liste Divers droite;MARCHIANI;622;LFN;Liste Front National;LE PEN;3019;LXD;Liste Extreme droite;VAUZELLE;132;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;2;2eme circonscription;85214;52664;32550;910;31640;LXG;Liste Extreme gauche;VACHETTA;856;LXG;Liste Extreme gauche;MIRGUET;193;LPC;Liste du Parti communiste;GOMEZ;1295;LPS;Liste du Parti socialiste;ROCARD;8575;LVE;Liste des Verts;BENNAHMIAS;2287;LRG;Liste regionaliste;ANTHOINE;0;LCP;Liste Chasse-Peche-Nature et Traditions;VIDAL-DAUMAS;592;LDV;Liste Divers;AUDIC;5;LDV;Liste Divers;GOVERNATORI;569;LDV;Liste Divers;FRAYSSE ;0;LDV;Liste Divers;DELAGE;329;LDV;Liste Divers;LAURELLI;59;LDV;Liste Divers;SANMARTIN;0;LDV;Liste Divers;GARINO;63;LDV;Liste Divers;KERDO;0;LUMP;Liste Union pour un Mouvement Populaire;GROSSETETE;5048;LUDF;Liste Union pour la democratie francaise;CORNILLET;3862;LDD;Liste Divers droite;LOUIS;2479;LDD;Liste Divers droite;LALLOUETTE;0;LDD;Liste Divers droite;MARCHIANI;703;LFN;Liste Front National;LE PEN;4536;LXD;Liste Extreme droite;VAUZELLE;189;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;3;3eme circonscription;80097;48522;31575;909;30666;LXG;Liste Extreme gauche;VACHETTA;726;LXG;Liste Extreme gauche;MIRGUET;208;LPC;Liste du Parti communiste;GOMEZ;1032;LPS;Liste du Parti socialiste;ROCARD;8667;LVE;Liste des Verts;BENNAHMIAS;2954;LRG;Liste regionaliste;ANTHOINE;0;LCP;Liste Chasse-Peche-Nature et Traditions;VIDAL-DAUMAS;678;LDV;Liste Divers;AUDIC;9;LDV;Liste Divers;GOVERNATORI;621;LDV;Liste Divers;FRAYSSE ;0;LDV;Liste Divers;DELAGE;342;LDV;Liste Divers;LAURELLI;55;LDV;Liste Divers;SANMARTIN;0;LDV;Liste Divers;GARINO;73;LDV;Liste Divers;KERDO;0;LUMP;Liste Union pour un Mouvement Populaire;GROSSETETE;5426;LUDF;Liste Union pour la democratie francaise;CORNILLET;3969;LDD;Liste Divers droite;LOUIS;2002;LDD;Liste Divers droite;LALLOUETTE;0;LDD;Liste Divers droite;MARCHIANI;607;LFN;Liste Front National;LE PEN;3165;LXD;Liste Extreme droite;VAUZELLE;132;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;4;4eme circonscription;100891;62318;38573;1293;37280;LXG;Liste Extreme gauche;VACHETTA;799;LXG;Liste Extreme gauche;MIRGUET;223;LPC;Liste du Parti communiste;GOMEZ;912;LPS;Liste du Parti socialiste;ROCARD;10152;LVE;Liste des Verts;BENNAHMIAS;2853;LRG;Liste regionaliste;ANTHOINE;0;LCP;Liste Chasse-Peche-Nature et Traditions;VIDAL-DAUMAS;891;LDV;Liste Divers;AUDIC;7;LDV;Liste Divers;GOVERNATORI;669;LDV;Liste Divers;FRAYSSE ;0;LDV;Liste Divers;DELAGE;413;LDV;Liste Divers;LAURELLI;85;LDV;Liste Divers;SANMARTIN;0;LDV;Liste Divers;GARINO;62;LDV;Liste Divers;KERDO;0;LUMP;Liste Union pour un Mouvement Populaire;GROSSETETE;6692;LUDF;Liste Union pour la democratie francaise;CORNILLET;5082;LDD;Liste Divers droite;LOUIS;2875;LDD;Liste Divers droite;LALLOUETTE;0;LDD;Liste Divers droite;MARCHIANI;719;LFN;Liste Front National;LE PEN;4696;LXD;Liste Extreme droite;VAUZELLE;150;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;1;1ere circonscription;69817;39637;30180;939;29241;LXG;Liste Extreme gauche;BAUDRIN;1145;LXG;Liste Extreme gauche;REITZMAN;330;LPC;Liste du Parti communiste;HENIN;1344;LPS;Liste du Parti socialiste;WEBER;9379;LVE;Liste des Verts;FLAUTRE;1697;LDG;Liste Divers gauche;DUQUENNE;283;LCP;Liste Chasse-Peche-Nature et Traditions;VERGY;744;LDV;Liste Divers;VAN OMMESLAEGHE;1;LDV;Liste Divers;GERNIGON;5;LDV;Liste Divers;PACAUD;64;LDV;Liste Divers;KURZYK;343;LDV;Liste Divers;HUGON;4;LDV;Liste Divers;AUGER;0;LDV;Liste Divers;SUEUR;556;LUMP;Liste Union pour un Mouvement Populaire;SAIFI;4322;LUDF;Liste Union pour la democratie francaise;BOURLANGES;2916;LDD;Liste Divers droite;BUTEL;1646;LDD;Liste Divers droite;HERNU;514;LFN;Liste Front National;LANG;3948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;2;2eme circonscription;73231;41537;31694;1067;30627;LXG;Liste Extreme gauche;BAUDRIN;1000;LXG;Liste Extreme gauche;REITZMAN;517;LPC;Liste du Parti communiste;HENIN;2046;LPS;Liste du Parti socialiste;WEBER;8947;LVE;Liste des Verts;FLAUTRE;1560;LDG;Liste Divers gauche;DUQUENNE;332;LCP;Liste Chasse-Peche-Nature et Traditions;VERGY;620;LDV;Liste Divers;VAN OMMESLAEGHE;7;LDV;Liste Divers;HUGON;4;LDV;Liste Divers;KURZYK;348;LDV;Liste Divers;PACAUD;57;LDV;Liste Divers;GERNIGON;0;LDV;Liste Divers;SUEUR;577;LDV;Liste Divers;AUGER;0;LUMP;Liste Union pour un Mouvement Populaire;SAIFI;4236;LUDF;Liste Union pour la democratie francaise;BOURLANGES;3486;LDD;Liste Divers droite;BUTEL;1591;LDD;Liste Divers droite;HERNU;566;LFN;Liste Front National;LANG;4733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;3;3eme circonscription;72022;41376;30646;1333;29313;LXG;Liste Extreme gauche;BAUDRIN;1039;LXG;Liste Extreme gauche;REITZMAN;344;LPC;Liste du Parti communiste;HENIN;1607;LPS;Liste du Parti socialiste;WEBER;8979;LVE;Liste des Verts;FLAUTRE;1244;LDG;Liste Divers gauche;DUQUENNE;224;LCP;Liste Chasse-Peche-Nature et Traditions;VERGY;834;LDV;Liste Divers;VAN OMMESLAEGHE;1;LDV;Liste Divers;HUGON;4;LDV;Liste Divers;KURZYK;326;LDV;Liste Divers;PACAUD;78;LDV;Liste Divers;GERNIGON;0;LDV;Liste Divers;SUEUR;514;LDV;Liste Divers;AUGER;0;LUMP;Liste Union pour un Mouvement Populaire;SAIFI;3931;LUDF;Liste Union pour la democratie francaise;BOURLANGES;2768;LDD;Liste Divers droite;BUTEL;1777;LDD;Liste Divers droite;HERNU;580;LFN;Liste Front National;LANG;5063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;4;4eme circonscription;76560;45972;30588;904;29684;LXG;Liste Extreme gauche;BAUDRIN;996;LXG;Liste Extreme gauche;REITZMAN;353;LPC;Liste du Parti communiste;HENIN;2225;LPS;Liste du Parti socialiste;WEBER;9097;LVE;Liste des Verts;FLAUTRE;1628;LDG;Liste Divers gauche;DUQUENNE;291;LCP;Liste Chasse-Peche-Nature et Traditions;VERGY;669;LDV;Liste Divers;VAN OMMESLAEGHE;9;LDV;Liste Divers;HUGON;7;LDV;Liste Divers;KURZYK;345;LDV;Liste Divers;PACAUD;70;LDV;Liste Divers;GERNIGON;0;LDV;Liste Divers;SUEUR;575;LDV;Liste Divers;AUGER;0;LUMP;Liste Union pour un Mouvement Populaire;SAIFI;3434;LUDF;Liste Union pour la democratie francaise;BOURLANGES;3146;LDD;Liste Divers droite;BUTEL;1551;LDD;Liste Divers droite;HERNU;514;LFN;Liste Front National;LANG;4774;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;5;5eme circonscription;76222;43952;32270;1101;31169;LXG;Liste Extreme gauche;BAUDRIN;995;LXG;Liste Extreme gauche;REITZMAN;343;LPC;Liste du Parti communiste;HENIN;1474;LPS;Liste du Parti socialiste;WEBER;8140;LVE;Liste des Verts;FLAUTRE;2010;LDG;Liste Divers gauche;DUQUENNE;302;LCP;Liste Chasse-Peche-Nature et Traditions;VERGY;625;LDV;Liste Divers;VAN OMMESLAEGHE;4;LDV;Liste Divers;HUGON;4;LDV;Liste Divers;KURZYK;351;LDV;Liste Divers;PACAUD;93;LDV;Liste Divers;GERNIGON;3;LDV;Liste Divers;SUEUR;579;LDV;Liste Divers;AUGER;0;LUMP;Liste Union pour un Mouvement Populaire;SAIFI;4655;LUDF;Liste Union pour la democratie francaise;BOURLANGES;3562;LDD;Liste Divers droite;BUTEL;2216;LDD;Liste Divers droite;HERNU;652;LFN;Liste Front National;LANG;5161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;ALLIER;1;1ere circonscription;57839;33088;24751;1190;23561;LXG;Liste Extreme gauche;LECLERC;555;LXG;Liste Extreme gauche;MAILLOT;226;LPC;Liste du Parti communiste;GENESTE;2357;LPS;Liste du Parti socialiste;GUY-QUINT;7773;LVE;Liste des Verts;NORMAND;1180;LCP;Liste Chasse-Peche-Nature et Traditions;LAVERGNE;457;LDV;Liste Divers;VILLELE DE ;2;LDV;Liste Divers;TONNIEAU;42;LDV;Liste Divers;TALON;427;LDV;Liste Divers;GAUDRY;43;LDV;Liste Divers;MORGILLO;0;LDV;Liste Divers;VELASQUE;360;LUMP;Liste Union pour un Mouvement Populaire;HORTEFEUX;4604;LUDF;Liste Union pour la democratie francaise;FOURTOU;2129;LDD;Liste Divers droite;PELTIER;1454;LDD;Liste Divers droite;LE BAUZEC;0;LFN;Liste Front National;VERDON;1868;LXD;Liste Extreme droite;JAFFRES;84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
