Code du departement;Libelle du departement;Code de la circonscription;Libelle de la circonscription;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimes;% Exp/Ins;% Exp/Vot;N°Liste;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;% Voix/Ins;% Voix/Exp;N°Liste;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;% Voix/Ins;% Voix/Exp;N°Liste;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;% Voix/Ins;% Voix/Exp;N°Liste;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;% Voix/Ins;% Voix/Exp;N°Liste;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;% Voix/Ins;% Voix/Exp;N°Liste;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;% Voix/Ins;% Voix/Exp;N°Liste;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;% Voix/Ins;% Voix/Exp;N°Liste;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;% Voix/Ins;% Voix/Exp;N°Liste;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;% Voix/Ins;% Voix/Exp;N°Liste;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;% Voix/Ins;% Voix/Exp;N°Liste;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;% Voix/Ins;% Voix/Exp;N°Liste;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;% Voix/Ins;% Voix/Exp;N°Liste;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;% Voix/Ins;% Voix/Exp;N°Liste;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;% Voix/Ins;% Voix/Exp;N°Liste;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;% Voix/Ins;% Voix/Exp;N°Liste;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;% Voix/Ins;% Voix/Exp;N°Liste;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;% Voix/Ins;% Voix/Exp;N°Liste;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;% Voix/Ins;% Voix/Exp;N°Liste;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;% Voix/Ins;% Voix/Exp;N°Liste;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;% Voix/Ins;% Voix/Exp;N°Liste;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;% Voix/Ins;% Voix/Exp;N°Liste;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;% Voix/Ins;% Voix/Exp;N°Liste;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;% Voix/Ins;% Voix/Exp;N°Liste;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;% Voix/Ins;% Voix/Exp
1;AIN;1;1ere circonscription;87362;53313;61,03;34049;38,97;1330;1,52;3,91;32719;37,45;96,09;5;LEXG;Liste Extreme gauche;ARTHAUD Nathalie;249;0,29;0,76;10;LEXG;Liste Extreme gauche;JENNAR Raoul;1316;1,51;4,02;11;LEXG;Liste Extreme gauche;RICERCHI Christophe;0;0;0;14;LCOP;Liste du PCF et du Parti de gauche;VERGIAT Marie-Christine;1523;1,74;4,65;20;LSOC;Liste du Parti socialiste;PEILLON Vincent;5529;6,33;16,9;15;LDVG;Liste Divers gauche;BARIOL Philippe;0;0;0;19;LDVG;Liste Divers gauche;VITAL Annie;6;0,01;0,02;7;LVEC;Liste des Verts;RIVASI Michele;5532;6,33;16,91;3;LAUT;Autre liste;CHAUVIN Matthieu;83;0,1;0,25;4;LAUT;Autre liste;MEDEVILLE Jerôme;3;0;0,01;8;LAUT;Autre liste;GARINO Christian;51;0,06;0,16;16;LAUT;Autre liste;HAMEL Dominique;4;0;0,01;18;LAUT;Autre liste;LALANNE Francis;1185;1,36;3,62;21;LAUT;Autre liste;ESPINOSA Victor Hugo;175;0,2;0,53;1;LCMD;Liste centre-MoDem;BENNAHMIAS Jean-Luc;2848;3,26;8,7;12;LMAJ;Liste de la majorite;GROSSETETE Françoise;10102;11,56;30,88;6;LDVD;Liste Divers droite;VIANES Michele;638;0,73;1,95;9;LDVD;Liste Divers droite;DUFRENEY Daniel;0;0;0;13;LDVD;Liste Divers droite;GAUTRON Jacques;1;0;0;17;LDVD;Liste Divers droite;LOUIS Patrick;1568;1,79;4,79;2;LFN;Liste Front National;LE PEN Jean-Marie;1906;2,18;5,83;;;;;;;;;;;;;;;;;;;;;
1;AIN;2;2eme circonscription;93137;59200;63,56;33937;36,44;1230;1,32;3,62;32707;35,12;96,38;5;LEXG;Liste Extreme gauche;ARTHAUD Nathalie;293;0,31;0,9;10;LEXG;Liste Extreme gauche;JENNAR Raoul;1468;1,58;4,49;11;LEXG;Liste Extreme gauche;RICERCHI Christophe;0;0;0;14;LCOP;Liste du PCF et du Parti de gauche;VERGIAT Marie-Christine;1666;1,79;5,09;20;LSOC;Liste du Parti socialiste;PEILLON Vincent;4591;4,93;14,04;15;LDVG;Liste Divers gauche;BARIOL Philippe;10;0,01;0,03;19;LDVG;Liste Divers gauche;VITAL Annie;10;0,01;0,03;7;LVEC;Liste des Verts;RIVASI Michele;4978;5,34;15,22;3;LAUT;Autre liste;CHAUVIN Matthieu;72;0,08;0,22;4;LAUT;Autre liste;MEDEVILLE Jerôme;3;0;0,01;8;LAUT;Autre liste;GARINO Christian;45;0,05;0,14;16;LAUT;Autre liste;HAMEL Dominique;4;0;0,01;18;LAUT;Autre liste;LALANNE Francis;1255;1,35;3,84;21;LAUT;Autre liste;ESPINOSA Victor Hugo;200;0,21;0,61;1;LCMD;Liste centre-MoDem;BENNAHMIAS Jean-Luc;2683;2,88;8,2;12;LMAJ;Liste de la majorite;GROSSETETE Françoise;9799;10,52;29,96;6;LDVD;Liste Divers droite;VIANES Michele;704;0,76;2,15;9;LDVD;Liste Divers droite;DUFRENEY Daniel;0;0;0;13;LDVD;Liste Divers droite;GAUTRON Jacques;1;0;0;17;LDVD;Liste Divers droite;LOUIS Patrick;1798;1,93;5,5;2;LFN;Liste Front National;LE PEN Jean-Marie;3127;3,36;9,56;;;;;;;;;;;;;;;;;;;;;
1;AIN;3;3eme circonscription;89469;54382;60,78;35087;39,22;1173;1,31;3,34;33914;37,91;96,66;5;LEXG;Liste Extreme gauche;ARTHAUD Nathalie;314;0,35;0,93;10;LEXG;Liste Extreme gauche;JENNAR Raoul;1454;1,63;4,29;11;LEXG;Liste Extreme gauche;RICERCHI Christophe;0;0;0;14;LCOP;Liste du PCF et du Parti de gauche;VERGIAT Marie-Christine;1354;1,51;3,99;20;LSOC;Liste du Parti socialiste;PEILLON Vincent;4581;5,12;13,51;15;LDVG;Liste Divers gauche;BARIOL Philippe;1;0;0;19;LDVG;Liste Divers gauche;VITAL Annie;9;0,01;0,03;7;LVEC;Liste des Verts;RIVASI Michele;6944;7,76;20,48;3;LAUT;Autre liste;CHAUVIN Matthieu;92;0,1;0,27;4;LAUT;Autre liste;MEDEVILLE Jerôme;4;0;0,01;8;LAUT;Autre liste;GARINO Christian;43;0,05;0,13;16;LAUT;Autre liste;HAMEL Dominique;12;0,01;0,04;18;LAUT;Autre liste;LALANNE Francis;1384;1,55;4,08;21;LAUT;Autre liste;ESPINOSA Victor Hugo;230;0,26;0,68;1;LCMD;Liste centre-MoDem;BENNAHMIAS Jean-Luc;3133;3,5;9,24;12;LMAJ;Liste de la majorite;GROSSETETE Françoise;9977;11,15;29,42;6;LDVD;Liste Divers droite;VIANES Michele;748;0,84;2,21;9;LDVD;Liste Divers droite;DUFRENEY Daniel;0;0;0;13;LDVD;Liste Divers droite;GAUTRON Jacques;11;0,01;0,03;17;LDVD;Liste Divers droite;LOUIS Patrick;1446;1,62;4,26;2;LFN;Liste Front National;LE PEN Jean-Marie;2177;2,43;6,42;;;;;;;;;;;;;;;;;;;;;
1;AIN;4;4eme circonscription;111401;68832;61,79;42569;38,21;1736;1,56;4,08;40833;36,65;95,92;5;LEXG;Liste Extreme gauche;ARTHAUD Nathalie;366;0,33;0,9;10;LEXG;Liste Extreme gauche;JENNAR Raoul;1676;1,5;4,1;11;LEXG;Liste Extreme gauche;RICERCHI Christophe;10;0,01;0,02;14;LCOP;Liste du PCF et du Parti de gauche;VERGIAT Marie-Christine;1351;1,21;3,31;20;LSOC;Liste du Parti socialiste;PEILLON Vincent;5719;5,13;14,01;15;LDVG;Liste Divers gauche;BARIOL Philippe;0;0;0;19;LDVG;Liste Divers gauche;VITAL Annie;9;0,01;0,02;7;LVEC;Liste des Verts;RIVASI Michele;6413;5,76;15,71;3;LAUT;Autre liste;CHAUVIN Matthieu;97;0,09;0,24;4;LAUT;Autre liste;MEDEVILLE Jerôme;6;0,01;0,01;8;LAUT;Autre liste;GARINO Christian;52;0,05;0,13;16;LAUT;Autre liste;HAMEL Dominique;5;0;0,01;18;LAUT;Autre liste;LALANNE Francis;1687;1,51;4,13;21;LAUT;Autre liste;ESPINOSA Victor Hugo;247;0,22;0,6;1;LCMD;Liste centre-MoDem;BENNAHMIAS Jean-Luc;3572;3,21;8,75;12;LMAJ;Liste de la majorite;GROSSETETE Françoise;13105;11,76;32,09;6;LDVD;Liste Divers droite;VIANES Michele;938;0,84;2,3;9;LDVD;Liste Divers droite;DUFRENEY Daniel;0;0;0;13;LDVD;Liste Divers droite;GAUTRON Jacques;4;0;0,01;17;LDVD;Liste Divers droite;LOUIS Patrick;2189;1,96;5,36;2;LFN;Liste Front National;LE PEN Jean-Marie;3387;3,04;8,29;;;;;;;;;;;;;;;;;;;;;
2;AISNE;1;1ere circonscription;72054;43478;60,34;28576;39,66;1348;1,87;4,72;27228;37,79;95,28;5;LEXG;Liste Extreme gauche;GOURMELEN Louis-Daniel;1;0;0;13;LEXG;Liste Extreme gauche;PECQUEUR Eric;683;0,95;2,51;11;LEXG;Liste Extreme gauche;POUPIN Christine;1930;2,68;7,09;3;LCOP;Liste du PCF et du Parti de gauche;HENIN Jacky;1447;2,01;5,31;7;LSOC;Liste du Parti socialiste;PARGNEAUX Gilles;4927;6,84;18,1;9;LDVG;Liste Divers gauche;VERHASSEL Virginie;4;0,01;0,01;4;LVEC;Liste des Verts;FLAUTRE Helene;2867;3,98;10,53;2;LAUT;Autre liste;FRAU Bernard;1099;1,53;4,04;10;LAUT;Autre liste;AUDO Martine;4;0,01;0,01;16;LAUT;Autre liste;VERNOCHET Jean-Michel;2;0;0,01;17;LAUT;Autre liste;BORIE Jacques;26;0,04;0,1;18;LCMD;Liste centre-MoDem;LEPAGE Corinne;2327;3,23;8,55;12;LMAJ;Liste de la majorite;RIQUET Dominique;6573;9,12;24,14;1;LDVD;Liste Divers droite;GREGOIRE Thierry;687;0,95;2,52;8;LDVD;Liste Divers droite;NIHOUS Frederic;1069;1,48;3,93;14;LDVD;Liste Divers droite;FACHON Dominique;1;0;0;6;LFN;Liste Front National;LE PEN Marine;3112;4,32;11,43;15;LEXD;Liste Extreme droite;LANG Carl;469;0,65;1,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;2;2eme circonscription;74775;44202;59,11;30573;40,89;1416;1,89;4,63;29157;38,99;95,37;5;LEXG;Liste Extreme gauche;GOURMELEN Louis-Daniel;1;0;0;13;LEXG;Liste Extreme gauche;PECQUEUR Eric;573;0,77;1,97;11;LEXG;Liste Extreme gauche;POUPIN Christine;1764;2,36;6,05;3;LCOP;Liste du PCF et du Parti de gauche;HENIN Jacky;1790;2,39;6,14;7;LSOC;Liste du Parti socialiste;PARGNEAUX Gilles;5244;7,01;17,99;9;LDVG;Liste Divers gauche;VERHASSEL Virginie;6;0,01;0,02;4;LVEC;Liste des Verts;FLAUTRE Helene;2284;3,05;7,83;2;LAUT;Autre liste;FRAU Bernard;944;1,26;3,24;10;LAUT;Autre liste;AUDO Martine;14;0,02;0,05;16;LAUT;Autre liste;VERNOCHET Jean-Michel;0;0;0;17;LAUT;Autre liste;BORIE Jacques;23;0,03;0,08;18;LCMD;Liste centre-MoDem;LEPAGE Corinne;1947;2,6;6,68;12;LMAJ;Liste de la majorite;RIQUET Dominique;8856;11,84;30,37;1;LDVD;Liste Divers droite;GREGOIRE Thierry;622;0,83;2,13;8;LDVD;Liste Divers droite;NIHOUS Frederic;930;1,24;3,19;14;LDVD;Liste Divers droite;FACHON Dominique;0;0;0;6;LFN;Liste Front National;LE PEN Marine;3692;4,94;12,66;15;LEXD;Liste Extreme droite;LANG Carl;467;0,62;1,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;3;3eme circonscription;71660;43058;60,09;28602;39,91;1791;2,5;6,26;26811;37,41;93,74;5;LEXG;Liste Extreme gauche;GOURMELEN Louis-Daniel;11;0,02;0,04;13;LEXG;Liste Extreme gauche;PECQUEUR Eric;704;0,98;2,63;11;LEXG;Liste Extreme gauche;POUPIN Christine;1745;2,44;6,51;3;LCOP;Liste du PCF et du Parti de gauche;HENIN Jacky;1529;2,13;5,7;7;LSOC;Liste du Parti socialiste;PARGNEAUX Gilles;5260;7,34;19,62;9;LDVG;Liste Divers gauche;VERHASSEL Virginie;4;0,01;0,01;4;LVEC;Liste des Verts;FLAUTRE Helene;1804;2,52;6,73;2;LAUT;Autre liste;FRAU Bernard;826;1,15;3,08;10;LAUT;Autre liste;AUDO Martine;2;0;0,01;16;LAUT;Autre liste;VERNOCHET Jean-Michel;2;0;0,01;17;LAUT;Autre liste;BORIE Jacques;31;0,04;0,12;18;LCMD;Liste centre-MoDem;LEPAGE Corinne;1664;2,32;6,21;12;LMAJ;Liste de la majorite;RIQUET Dominique;6843;9,55;25,52;1;LDVD;Liste Divers droite;GREGOIRE Thierry;475;0,66;1,77;8;LDVD;Liste Divers droite;NIHOUS Frederic;1233;1,72;4,6;14;LDVD;Liste Divers droite;FACHON Dominique;0;0;0;6;LFN;Liste Front National;LE PEN Marine;4180;5,83;15,59;15;LEXD;Liste Extreme droite;LANG Carl;498;0,69;1,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;4;4eme circonscription;79222;48950;61,79;30272;38,21;1311;1,65;4,33;28961;36,56;95,67;5;LEXG;Liste Extreme gauche;GOURMELEN Louis-Daniel;0;0;0;13;LEXG;Liste Extreme gauche;PECQUEUR Eric;693;0,87;2,39;11;LEXG;Liste Extreme gauche;POUPIN Christine;1836;2,32;6,34;3;LCOP;Liste du PCF et du Parti de gauche;HENIN Jacky;2759;3,48;9,53;7;LSOC;Liste du Parti socialiste;PARGNEAUX Gilles;4801;6,06;16,58;9;LDVG;Liste Divers gauche;VERHASSEL Virginie;5;0,01;0,02;4;LVEC;Liste des Verts;FLAUTRE Helene;2724;3,44;9,41;2;LAUT;Autre liste;FRAU Bernard;1130;1,43;3,9;10;LAUT;Autre liste;AUDO Martine;3;0;0,01;16;LAUT;Autre liste;VERNOCHET Jean-Michel;1;0;0;17;LAUT;Autre liste;BORIE Jacques;68;0,09;0,23;18;LCMD;Liste centre-MoDem;LEPAGE Corinne;2125;2,68;7,34;12;LMAJ;Liste de la majorite;RIQUET Dominique;6560;8,28;22,65;1;LDVD;Liste Divers droite;GREGOIRE Thierry;625;0,79;2,16;8;LDVD;Liste Divers droite;NIHOUS Frederic;1193;1,51;4,12;14;LDVD;Liste Divers droite;FACHON Dominique;6;0,01;0,02;6;LFN;Liste Front National;LE PEN Marine;3850;4,86;13,29;15;LEXD;Liste Extreme droite;LANG Carl;582;0,73;2,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;5;5eme circonscription;80495;48313;60,02;32182;39,98;1563;1,94;4,86;30619;38,04;95,14;5;LEXG;Liste Extreme gauche;GOURMELEN Louis-Daniel;0;0;0;13;LEXG;Liste Extreme gauche;PECQUEUR Eric;636;0,79;2,08;11;LEXG;Liste Extreme gauche;POUPIN Christine;1757;2,18;5,74;3;LCOP;Liste du PCF et du Parti de gauche;HENIN Jacky;1528;1,9;4,99;7;LSOC;Liste du Parti socialiste;PARGNEAUX Gilles;4357;5,41;14,23;9;LDVG;Liste Divers gauche;VERHASSEL Virginie;7;0,01;0,02;4;LVEC;Liste des Verts;FLAUTRE Helene;3601;4,47;11,76;2;LAUT;Autre liste;FRAU Bernard;1362;1,69;4,45;10;LAUT;Autre liste;AUDO Martine;9;0,01;0,03;16;LAUT;Autre liste;VERNOCHET Jean-Michel;0;0;0;17;LAUT;Autre liste;BORIE Jacques;29;0,04;0,09;18;LCMD;Liste centre-MoDem;LEPAGE Corinne;2464;3,06;8,05;12;LMAJ;Liste de la majorite;RIQUET Dominique;7900;9,81;25,8;1;LDVD;Liste Divers droite;GREGOIRE Thierry;716;0,89;2,34;8;LDVD;Liste Divers droite;NIHOUS Frederic;1361;1,69;4,44;14;LDVD;Liste Divers droite;FACHON Dominique;0;0;0;6;LFN;Liste Front National;LE PEN Marine;4291;5,33;14,01;15;LEXD;Liste Extreme droite;LANG Carl;601;0,75;1,96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;ALLIER;1;1ere circonscription;57905;34323;59,27;23582;40,73;1505;2,6;6,38;22077;38,13;93,62;5;LEXG;Liste Extreme gauche;PORNET Aline;0;0;0;18;LEXG;Liste Extreme gauche;SAVRE Marie;359;0,62;1,63;6;LEXG;Liste Extreme gauche;NGUYEN Christian;1155;1,99;5,23;17;LCOP;Liste du PCF et du Parti de gauche;BEAUFILS Marie-France;2438;4,21;11,04;2;LSOC;Liste du Parti socialiste;WEBER Henri;4643;8,02;21,03;9;LDVG;Liste Divers gauche;NEROUD Therese;0;0;0;16;LVEC;Liste des Verts;BESSET Jean-Paul;2355;4,07;10,67;1;LAUT;Autre liste;MICAELLI Philippe;0;0;0;3;LAUT;Autre liste;BARON Jean-Pierre;0;0;0;4;LAUT;Autre liste;PRADALIER Nicole;0;0;0;12;LAUT;Autre liste;DAUDON Jacques-Henri;1;0;0;14;LAUT;Autre liste;DE PREVOISIN Robert;6;0,01;0,03;19;LAUT;Autre liste;FABRE Michel;644;1,11;2,92;20;LAUT;Autre liste;DANESHMAND Farhad;56;0,1;0,25;8;LCMD;Liste centre-MoDem;BEAUPUY Jean-Marie;1828;3,16;8,28;10;LMAJ;Liste de la majorite;AUDY Jean-Pierre;5882;10,16;26,64;13;LDVD;Liste Divers droite;BARRAT Jean;384;0,66;1,74;15;LDVD;Liste Divers droite;GONCALVES Veronique;894;1,54;4,05;7;LFN;Liste Front National;BOURSON Patrick;1043;1,8;4,72;11;LEXD;Liste Extreme droite;VERDON Jean;389;0,67;1,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;
