Code du département;Libellé du département;Code de la circonscription;Libellé de la circonscription;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimes;% Exp/Ins;% Exp/Vot;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp
1;AIN;1;1ère circonscription;74307;24978;33.61;49329;66.39;2464;3.32;5;46865;63.07;95;EXG;720;0.97;1.54;EXG;574;0.77;1.22;COM;1863;2.51;3.98;MAJ;11300;15.21;24.11;VEC;4620;6.22;9.86;DIV;0;0;0;DIV;1193;1.61;2.55;RPR;21779;29.31;46.47;FRN;4816;6.48;10.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;2;2ème circonscription;73064;24434;33.44;48630;66.56;2464;3.37;5.07;46166;63.19;94.93;COM;3674;5.03;7.96;SOC;6441;8.82;13.95;VEC;5896;8.07;12.77;RPR;21481;29.4;46.53;FRN;8674;11.87;18.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;3;3ème circonscription;71161;24252;34.08;46909;65.92;2424;3.41;5.17;44485;62.51;94.83;COM;2655;3.73;5.97;SOC;7644;10.74;17.18;GEC;4194;5.89;9.43;DIV;1524;2.14;3.43;UDF;22949;32.25;51.59;FRN;5519;7.76;12.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;4;4ème circonscription;84660;28638;33.83;56022;66.17;3314;3.91;5.92;52708;62.26;94.08;COM;2816;3.33;5.34;SOC;8408;9.93;15.95;GEC;4486;5.3;8.51;DIV;2042;2.41;3.87;UDF;25753;30.42;48.86;FRN;9203;10.87;17.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;1;1ère circonscription;70562;21164;29.99;49398;70.01;2565;3.64;5.19;46833;66.37;94.81;EXG;1703;2.41;3.64;COM;3393;4.81;7.24;SOC;11101;15.73;23.7;VEC;2968;4.21;6.34;DIV;1914;2.71;4.09;RPR;19147;27.14;40.88;DVD;831;1.18;1.77;FRN;5776;8.19;12.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;2;2ème circonscription;74526;21966;29.47;52560;70.53;2992;4.01;5.69;49568;66.51;94.31;EXG;807;1.08;1.63;EXG;1089;1.46;2.2;COM;10441;14.01;21.06;SOC;4281;5.74;8.64;GEC;2510;3.37;5.06;DIV;2239;3;4.52;UDF;18133;24.33;36.58;DVD;876;1.18;1.77;DVD;1106;1.48;2.23;DVD;713;0.96;1.44;FRN;5788;7.77;11.68;;;;;;;;;;;;;;;;;;;;
2;AISNE;3;3ème circonscription;75093;18978;25.27;56115;74.73;2471;3.29;4.4;53644;71.44;95.6;COM;4822;6.42;8.99;SOC;19408;25.85;36.18;VEC;1991;2.65;3.71;DIV;1239;1.65;2.31;RPR;20379;27.14;37.99;DVD;437;0.58;0.81;DVD;712;0.95;1.33;FRN;4656;6.2;8.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;4;4ème circonscription;77679;25434;32.74;52245;67.26;2945;3.79;5.64;49300;63.47;94.36;EXG;1720;2.21;3.49;COM;5274;6.79;10.7;SOC;12504;16.1;25.36;VEC;3165;4.07;6.42;DIV;2100;2.7;4.26;UDF;14853;19.12;30.13;DVD;2044;2.63;4.15;FRN;7640;9.84;15.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;5;5ème circonscription;72903;21872;30;51031;70;2371;3.25;4.65;48660;66.75;95.35;EXG;1270;1.74;2.61;EXG;988;1.36;2.03;COM;4196;5.76;8.62;SOC;7981;10.95;16.4;GEC;2806;3.85;5.77;DIV;2026;2.78;4.16;UDF;21287;29.2;43.75;DVD;750;1.03;1.54;FRN;7356;10.09;15.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;ALLIER;1;1ère circonscription;58856;18331;31.15;40525;68.85;2279;3.87;5.62;38246;64.98;94.38;COM;5417;9.2;14.16;SOC;10451;17.76;27.33;GEC;2345;3.98;6.13;DIV;955;1.62;2.5;RPR;10882;18.49;28.45;UDF;5104;8.67;13.35;FRN;3092;5.25;8.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
