;Libellé du département;Code de la circonscription;Libellé de la circonscription;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimes;% Exp/Ins;% Exp/Vot;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp
1;AIN;1;1ère circonscription;75649;26021;34.4;49628;65.6;2663;3.52;5.37;46965;62.08;94.63;EXG;1047;1.38;2.23;EXG;569;0.75;1.21;COM;2185;2.89;4.65;SOC;14666;19.39;31.23;DVG;69;0.09;0.15;ECO;2455;3.25;5.23;ECO;554;0.73;1.18;RPR;14048;18.57;29.91;DVD;2583;3.41;5.5;DVD;1310;1.73;2.79;FRN;7479;9.89;15.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;2;2ème circonscription;75362;26140;34.69;49222;65.31;2554;3.39;5.19;46668;61.93;94.81;EXG;1581;2.1;3.39;EXG;429;0.57;0.92;COM;3846;5.1;8.24;SOC;10083;13.38;21.61;DVG;692;0.92;1.48;DVG;778;1.03;1.67;ECO;1847;2.45;3.96;RPR;14523;19.27;31.12;DVD;1624;2.15;3.48;FRN;11265;14.95;24.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;3;3ème circonscription;72641;26129;35.97;46512;64.03;2293;3.16;4.93;44219;60.87;95.07;EXG;1459;2.01;3.3;COM;3034;4.18;6.86;DVG;3079;4.24;6.96;ECO;8906;12.26;20.14;ECO;1751;2.41;3.96;UDF;18054;24.85;40.83;DVD;1362;1.87;3.08;FRN;6574;9.05;14.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;4;4ème circonscription;87236;29594;33.92;57642;66.08;3167;3.63;5.49;54475;62.45;94.51;EXG;1033;1.18;1.9;COM;2591;2.97;4.76;SOC;14630;16.77;26.86;ECO;1348;1.55;2.47;ECO;1982;2.27;3.64;UDF;20388;23.37;37.43;DVD;1667;1.91;3.06;FRN;10836;12.42;19.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;1;1ère circonscription;68787;19395;28.2;49392;71.8;2373;3.45;4.8;47019;68.35;95.2;EXG;2712;3.94;5.77;COM;3697;5.37;7.86;SOC;15072;21.91;32.06;DVG;3537;5.14;7.52;ECO;1353;1.97;2.88;RPR;13625;19.81;28.98;FRN;7023;10.21;14.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;2;2ème circonscription;73493;20951;28.51;52542;71.49;2289;3.11;4.36;50253;68.38;95.64;EXG;1474;2.01;2.93;EXG;969;1.32;1.93;COM;7080;9.63;14.09;SOC;14389;19.58;28.63;ECO;2643;3.6;5.26;UDF;13989;19.03;27.84;DVD;1135;1.54;2.26;FRN;8574;11.67;17.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;3;3ème circonscription;73230;20584;28.11;52646;71.89;2438;3.33;4.63;50208;68.56;95.37;EXG;1691;2.31;3.37;COM;3981;5.44;7.93;SOC;23131;31.59;46.07;ECO;1159;1.58;2.31;ECO;969;1.32;1.93;UDF;9015;12.31;17.96;DVD;1547;2.11;3.08;DVD;1123;1.53;2.24;FRN;7592;10.37;15.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;4;4ème circonscription;75674;22046;29.13;53628;70.87;2130;2.81;3.97;51498;68.05;96.03;EXG;2305;3.05;4.48;SOC;10570;13.97;20.53;DVG;13518;17.86;26.25;ECO;1403;1.85;2.72;UDF;13703;18.11;26.61;DVD;970;1.28;1.88;FRN;9029;11.93;17.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;5;5ème circonscription;72680;20634;28.39;52046;71.61;2194;3.02;4.22;49852;68.59;95.78;EXG;2042;2.81;4.1;COM;5212;7.17;10.45;SOC;11720;16.13;23.51;ECO;1793;2.47;3.6;RPR;3528;4.85;7.08;UDF;14978;20.61;30.04;DVD;708;0.97;1.42;FRN;9871;13.58;19.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;ALLIER;1;1ère circonscription;58243;16849;28.93;41394;71.07;2121;3.64;5.12;39273;67.43;94.88;COM;6620;11.37;16.86;SOC;12712;21.83;32.37;ECO;1487;2.55;3.79;RPR;14077;24.17;35.84;DVD;942;1.62;2.4;FRN;3435;5.9;8.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
