Annee;Reglements de compte entre malfaiteurs;Homicides pour voler et a loccasion de vols;Homicides pour dautres motifs;Tentatives dhomicides pour voler et a loccasion de vols;Tentatives homicides pour dautres motifs;Coups et blessures volontaires suivis de mort;Autres coups et blessures volontaires criminels ou correctionnels;Prises dotages a loccasion de vols;Prises dotages dans un autre but;Sequestrations;Menaces ou chantages pour extorsion de fonds;Menaces ou chantages dans un autre but;Atteintes a la dignite et a la personnalite;Violations de domicile;Vols a main armee contre des etablissements financiers;Vols a main armee contre des etablissements industriels ou commerciaux;Vols a main armee contre des entreprises de transports de fonds;Vols a main armee contre des particuliers a leur domicile;Autres vols a main armee;Vols avec armes blanches contre des etablissements financiers,commerciaux ou industriels;Vols avec armes blanches contre des particuliers a leur domicile;Autres vols avec armes blanches;Vols violents sans arme contre des etablissements financiers,commerciaux ou industriels;Vols violents sans arme contre des particuliers a leur domicile;Vols violents sans arme contre des femmes sur voie publique ou autre lieu public;Vols violents sans arme contre dautres victimes;Cambriolages de locaux dhabitations principales;Cambriolages de residences secondaires;Cambriolages de locaux industriels, commerciaux ou financiers;Cambriolages dautres lieux;Vols avec entree par ruse en tous lieux;Vols a la tire;Vols a letalage;Vols de vehicules de transport avec fret;Vols dautomobiles;Vols de vehicules motorises a 2 roues;Vols a la roulotte;Vols daccessoires sur vehicules a moteur immatricules;Vols simples sur chantier;Vols simples sur exploitations agricoles;Autres vols simples contre des etablissements publics ou prives;Autres vols simples contre des particuliers dans deslocaux prives;Autres vols simples contre des particuliers dans des locaux ou lieux publics;Recels;Proxenetisme;Viols sur des majeur(e)s;Viols sur des mineur(e)s;Harcelements sexuels et autres agressions sexuelles majeurs;Harcelements sexuels et autres agressions sexuelles mineurs;Atteintes sexuelles;Homicides commis contre enfants de moins de 15 ans;Violences, mauvais traitements et abandons denfants;Delits au sujet de la garde des mineurs;Non versement de pension alimentaire;Trafic et revente sans usage de stupefiants;Usage-revente de stupefiants;Usage de stupefiants;Autres infractions a la legislation sur les stupefiants;Delits de debits de boissons et infraction a la reglementation sur lalcool et le tabac;Fraudes alimentaires et infractions a lhygiene;Autres delits contre sante publique et la reglementation des professions medicales;Incendies volontaires de biens publics;Incendies volontaires de biens prives;Attentats a lexplosif contre des biens publics;Attentats a lexplosif contre des biens prives;Autres destructions er degradations de biens publics;Autres destructions er degradations de biens prives;Destructions et degradations de vehicules prives;Infractions aux conditions generales dentree et de sejour des etrangers;Aide a lentree, a la circulation et au sejour des etrangers;Autres infractions a la police des etrangers;Outrages a depositaires autorite;Violences a depositaires autorite;Port ou detention armes prohibees;Atteintes aux interets fondamentaux de la Nation;Delits des courses et des jeux;Delits interdiction de sejour et de paraitre;Destructions, cruautes et autres delits envers les animaux;Atteintes a lenvironnement;Chasse et peche;Faux documents didentite;Faux documents concernant la circulation des vehicules;Autres faux documents administratifs;Faux en ecriture publique et authentique;Autres faux en ecriture;Fausse monnaie;Contrefacons et fraudes industrielles et commerciales;Contrefacons litteraires et artistique;Falsification et usages de cheques voles;Falsification et usages de cartes de credit;Escroqueries et abus de confiance;Infractions a la legislation sur les cheques;Travail clandestin;Emploi detranger sans titre de travail;Marchandage - pret de main doeuvre;Index non utilise;Index non utilise;Banqueroutes, abus de biens sociaux et autres delits de societe;Index non utilise;Index non utilise;Prix illicittes, publicite fausse et infractions aux regles de la concurrence;Achats et ventes sans factures;Infractions a lexercice dune profession reglementee;Infractions au droit de lurbanisme et de la construction;Fraudes fiscales;Autres delits economiques et financiers;Autres delits
_2022_08;14;2;88;15;315;20;30598;7;15;416;1306;12132;5904;1924;3;56;1;37;179;27;46;395;55;135;1741;3343;18172;1678;5591;3766;731;11181;3938;23;6993;4369;20714;8534;794;640;5032;17994;31453;2600;42;1686;1438;1501;2054;1396;7;4477;2642;525;1288;1826;21188;258;254;14;48;615;2364;6;21;2690;9394;7023;795;323;739;2434;3164;3134;115;13;255;617;290;129;619;323;351;79;556;85;151;7;3717;6566;25303;143;524;188;3;0;0;81;0;0;85;3;139;356;66;1195;14393
_2022_07;16;3;79;14;315;21;31959;12;21;381;1232;12487;6198;1908;7;63;1;47;129;43;48;454;57;171;1989;3675;16139;1762;5668;3737;646;12385;3465;18;7325;4776;21020;8382;1088;682;4872;17515;31386;3143;51;1663;1534;1677;2176;1339;7;4775;2891;537;1232;1781;18819;253;239;97;68;653;2777;7;22;2691;9520;7122;576;309;654;2392;3447;2979;101;9;229;586;278;83;554;318;405;81;593;82;207;17;3503;6270;24837;125;607;229;5;0;0;104;0;0;77;4;103;335;53;1225;14573
_2022_06;13;3;65;9;373;22;33028;10;19;445;1405;13367;7078;1890;7;46;1;31;125;41;59;440;44;149;1930;3818;15247;1684;5626;4158;667;12407;3749;22;7627;5115;21855;8611;1211;704;5047;17346;31052;2869;55;1731;1723;1702;2530;1466;7;7142;2780;599;1393;2098;19078;269;227;22;62;482;1965;12;18;2855;9687;7313;594;368;648;2371;3172;3292;104;12;241;542;260;131;481;334;426;91;695;83;303;11;4491;6677;23994;164;701;271;3;0;0;92;0;0;80;6;131;352;68;1420;14416
_2022_05;15;4;91;9;339;13;32977;9;16;469;1462;13288;7018;1764;2;47;0;42;137;39;56;473;61;151;2017;3718;15149;1643;5668;4227;602;12275;4151;23;7747;5057;21749;8770;1188;753;4992;16750;29857;3278;65;1795;1877;1746;2749;1570;1;7391;2802;639;1462;2307;20540;279;221;27;60;440;1955;5;19;2936;9709;7407;534;415;699;2602;3484;3349;97;17;252;541;265;136;606;360;472;94;652;98;363;14;5511;6775;24207;132;735;264;3;0;0;104;0;0;94;4;133;391;61;1467;15128
_2022_04;5;3;70;8;285;23;28293;6;22;395;1192;11549;6219;1472;5;44;1;40;156;28;31;335;52;120;1484;2463;13241;1642;4833;3891;604;10733;3835;23;6949;4255;18215;7835;1213;622;4668;14353;24601;2853;60;1455;1602;1401;2280;1209;7;5772;2960;581;1376;2040;17522;244;275;18;90;474;1840;7;22;2552;9154;6672;499;366;570;2254;3093;3044;118;11;242;428;242;105;585;331;428;105;623;88;351;11;4004;5994;23212;88;636;242;6;0;0;127;0;0;115;2;98;422;73;1518;14258
_2022_03;15;4;93;8;321;25;31034;17;23;471;1588;12830;7107;1765;14;70;2;37;151;36;52;422;54;143;2012;3057;16635;1612;5879;4174;752;13481;4675;21;7749;3857;21160;9563;1341;662;5200;16098;29020;3337;70;1636;1901;1553;2712;1419;8;7283;2907;687;1635;2650;21525;277;280;27;108;437;2051;3;16;2861;10009;7138;637;496;642;2342;3317;3675;108;7;256;472;322;150;606;358;529;137;769;85;342;13;4864;7398;28644;158;836;328;7;0;0;137;0;0;84;4;110;500;86;1795;16172
_2022_02;17;3;56;9;247;15;25702;4;19;381;1361;10850;5971;1506;5;45;0;46;108;45;45;394;68;125;1696;2628;15662;1505;5122;3585;669;11088;3932;27;6832;3045;19001;7805;1167;453;4085;13603;23411;2650;39;1472;1542;1395;2153;1163;6;5362;2812;618;1358;1878;17575;240;250;14;53;354;1657;3;22;2410;8560;6123;502;338;559;2044;2817;2887;107;5;219;336;234;106;491;309;425;99;641;102;234;6;4499;6023;25879;124;720;264;5;0;0;112;0;0;91;4;112;403;60;1255;14214
_2022_01;5;2;79;25;252;15;26486;7;14;446;1373;11837;6261;1496;8;59;0;36;132;43;42;411;68;137;1865;2652;15988;1491;5231;3575;619;10798;4079;45;7129;3055;20008;7769;923;442;4359;14337;23000;2714;43;1415;1551;1330;2196;1142;2;5729;2873;615;1402;2091;18489;210;253;22;56;463;2362;4;24;2633;9209;6665;481;369;620;2198;2986;3276;105;7;232;413;228;99;481;317;465;117;639;82;208;13;5178;6161;26836;151;734;280;1;0;0;131;0;0;84;7;114;484;75;1358;14308
_2021_12;4;4;73;26;327;13;26978;8;17;364;1427;11616;6189;1482;13;62;1;49;144;51;53;437;64;134;2003;2773;20945;1414;5348;3639;644;12799;4401;18;7201;3274;21538;6868;910;410;4556;15679;25817;3085;36;1560;1611;1535;2352;1108;5;5771;3035;601;1305;2048;15754;270;249;14;61;396;2361;4;30;2539;8981;6610;611;407;530;2161;3015;2993;125;7;191;377;227;94;485;338;435;102;698;81;281;19;4920;7134;27433;174;677;209;4;0;0;138;0;0;94;4;135;454;62;1694;13802
_2021_11;4;0;72;15;281;15;27547;7;19;392;1654;12200;6247;1572;11;59;0;46;141;47;49;435;69;137;2042;2884;18653;1401;5545;3807;755;12268;4188;28;7475;3608;22510;7475;1184;440;4808;14964;26514;3046;46;1539;1699;1495;2321;1254;6;5798;2813;666;1405;2113;16488;271;240;15;60;431;1918;4;16;2562;8986;7036;627;462;599;2223;2850;3242;116;6;214;367;237;129;516;347;422;107;705;93;193;18;4488;7208;26422;172;713;249;2;0;0;127;0;0;85;4;111;437;64;1691;13940
