Libelle parti;Orientation Politique
LA FRANCE INSOUMISE;Gauche
UNE FRANCE ROYALE;Extreme Droite
LA LIGNE CLAIRE;Droite
PARTI PIRATE;Divers
RENAISSANCE;Centre
DEMOCRATIE REPRESENTATIVE;Extreme Gauche
ENSEMBLE PATRIOTES;Extreme Droite
PACE;Ecologie
URGENCE ECOLOGIE;Ecologie
LISTE DE LA RECONQUETE;Extreme droite
LES EUROPEENS;Centre
ENVIE D'EUROPE;Gauche
PARTI FED. EUROPEEN;Centre
INITIATIVE CITOYENNE;Divers
DEBOUT LA FRANCE;Droite
ALLONS ENFANTS;Divers
DECROISSANCE 2019;Extreme Gauche
LUTTE OUVRIERE;Extreme Gauche
POUR L'EUROPE DES GENS;Gauche Radical
ENSEMBLE POUR LE FREXIT;Extreme Droite
LISTE CITOYENNE;Gauche
A VOIX EGALES;Divers
PRENEZ LE POUVOIR;Extreme Droite
NEUTRE ET ACTIF;Divers
REVOLUTIONNAIRE;Extreme Gauche
ESPERANTO;Divers
EVOLUTION CITOYENNE;Divers
ALLIANCE JAUNE;Divers
UNION DROITE-CENTRE;Divers
EUROPE ECOLOGIE;Ecologie
PARTI ANIMALISTE;Divers
LES OUBLIES DE L'EUROPE;Gauche
UDLEF;Gauche
EUROPE AU SERVICE PEUPLES;Divers
Liste Extreme gauche;Extreme Gauche
Liste Front de Gauche;Gauche
Liste Union de la Gauche;Gauche
Liste Divers gauche;Gauche
Liste Europe-Ecologie-Les Verts;Ecologie
Liste Divers;Divers
Liste Union du Centre;Centre
Liste Union pour un Mouvement Populaire;Droite
Liste Divers droite;Droite
Liste Front National;Extreme Droite
Liste Extreme droite;Extreme Droite
Liste du Parti socialiste;Gauche
Liste du PCF et du Parti de gauche;Gauche
Liste des Verts;Ecologie
Autre liste;Divers
Liste regionaliste;Divers
Liste centre-MoDem;Centre
Liste de la majorite;Droite
Liste du Parti communiste;Gauche
Liste Union pour la democratie francaise;Centre
Liste Chasse-Peche-Nature et Traditions;Droite
Liste ecologiste;Ecologie
LUTTE OUVRIERE ET LCR;Extreme Gauche
BOUGE L'EUROPE;Gauche
CONSTRUISONS NOTRE EUROPE;Gauche
L'ECOLOGIE, LES VERTS;Ecologie
ECOLOGIE  CHOIX DE LA VIE;Ecologie
MI OU MI MWEN;Divers
COMBAT POUR L'EMPLOI;Gauche
LIGUE NATIONALISTE;Divers
LISTE LOI NATURELLE;Divers
MOINS D'IMPOTS MAINTENANT;Droite
PARTI HUMANISTE;Divers
POLITIQUE POUR L'EUROPE;Divers
VIVANT ENERGIE FRANCE;Ecologie
VIVE LE FEDERALISME;Centre
L'UNION POUR L'EUROPE;Droite
AVEC L'EUROPE;Centre
RASSEMBLEMENT POUR LA FRA;Droite
EUROPEENS D'ACCORD FRANCA;Extreme Droite
PARTI DES TRAVAILL.;Extreme Gauche
PCF;Gauche
EUROPE SOLIDAIRE;Gauche
AUTRE POLITIQUE;Gauche
ENERGIE RADICALE;Centre
UNION DES ECOLOG.;Ecologie
GENERATION ECOLOGIE;Ecologie
RASS. OUTRE MER;Gauche
REG ET FEDER;Centre
DEM E-U EUROPE;Divers
EUROPE POUR TOUS;Divers
L' EMPLOI D' ABORD;Divers
POLIT. DE VIE;Divers
SARAJEVO;Divers
UDF-RPR;Centre
AUTRE EUROPE;Centre
