Nom du parti;Orientation politique
LC;Extreme gauche
LO;Extreme gauche
FCR;Extreme gauche
PT;Extreme gauche
LCR;Extreme gauche
NPA;Extreme gauche
PCF;Gauche
PSU;Gauche radicale
NGSEA;Gauche radicale
FDG;Gauche radicale
LFI;Gauche radicale
CIR;Gauche
SFIO;Gauche
PS;Gauche
MDC;Gauche
PRG;Gauche
Dumont;Ecologie
MEP;Ecologie
Les Verts;Gauche
Cap 21;Ecologie
EELV;Ecologie
MRP;Centre
RI;Centre
MDSF;Centre
UDF;Droite
UDFD;Centre
MoDem;Centre
EM;Centre
LREM;Centre
UNR;Droite
UDR;Droite
RPR;Droite
MPF;Droite
DL;Droite
FRS;Droite
UMP;Droite
DLR;Extreme Droite
DLF;Extreme Droite
LR;Droite
Tixier-Vignancour;Extreme Droite
FN;Extreme Droite
RN;Extreme Droite
REC;Extreme Droite
Marcilhacy;Divers
Barbu;Divers
Ducatel;Divers
NAF;Divers
Sebag;Divers
Heraud;Divers
S&P;Divers
CPNT;Divers
RES;Divers
UPR;Divers
Aucune;Divers
VIA;Droite
MNR;Extreme Droite
FNS;Divers
SP;Divers
DXG;Extreme gauche
DVG;Gauche
REG;Divers
DIV;Divers
ECO;Gauche
RDG;Gauche
NUP;Extreme Gauche
ENS;Centre
LR;Droite
DVC;Centre
DVD;Droite
DSV;Droite
UDI;Droite
REC;Extreme Droite
RN;Extreme Droite
DXD;Extreme Droite
COM;Gauche
FI;Gauche
REM;Centre
MDM;Centre
EXG;Extreme Gauche
SOC;Gauche
EXD;Extreme Droite
FG;Gauche
VEC;Ecologie
AUT;Divers
CEN;Centre
PRV;Droite
NCE;Droite
ALLI;Droite
MAJ;Droite
PRS;Centre
FRN;Extreme Droite
GEC;Ecologie
UD;Droite
UG;Gauche
UC;Centre
PG;Gauche
UGE;Gauche
UCD;Droite
COP;Gauche
CMD;Centre
XG;Extreme Gauche
DG;Gauche
GA;Gauche
VE;Gauche
DV;Ecologie
EC;Ecologie
CP;Divers
XD;Extreme Droite
DR;Droite
DV;Divers
RG;Gauche
DD;Droite
MA;Gauche
PC;Gauche
DF;Droite


